Juicio_ID,Ano,Decada,Siglo,Juzgado,Muertos,Fuente_ID,Lugar_ID
1,1300,1300,1300,1,NA,35,G17
2,1300,1300,1300,1,0,30,G574
3,1301,1300,1300,1,0,30,UK100
4,1302,1300,1300,1,0,30,UK23
5,1302,1300,1300,1,0,30,UK23
6,1303,1300,1300,1,0,30,FR137
7,1304,1300,1300,1,0,30,FR149
8,1306,1300,1300,1,0,30,FR137
9,1307,1300,1300,36,36,19,FR137
10,1308,1300,1300,1,NA,30,FR47
11,1308,1300,1300,3,2,30,FR76
12,1310,1310,1300,54,54,19,FR137
13,1311,1310,1300,1,0,30,UK63
14,1314,1310,1300,1,1,30,UK68
15,1314,1310,1300,1,NA,30,FR76
16,1314,1310,1300,39,39,19,FR137
17,1314,1310,1300,1,1,19,FR137
18,1315,1310,1300,1,NA,30,A2
19,1315,1310,1300,1,0,30,FR50
20,1315,1310,1300,3,3,30,FR76
21,1315,1310,1300,3,3,30,FR137
22,1316,1310,1300,1,NA,19,FR137
23,1316,1310,1300,1,NA,30,FR137
24,1317,1310,1300,1,NA,30,FR76
25,1317,1310,1300,1,0,30,FR137
26,1317,1310,1300,1,1,30,FR176
27,1318,1310,1300,1,NA,30,FR176
28,1318,1310,1300,1,NA,30,FR176
29,1319,1310,1300,1,NA,30,FR76
30,1319,1310,1300,1,0,30,FR84
31,1319,1310,1300,1,0,19,FR137
32,1319,1310,1300,1,NA,30,FR137
33,1320,1320,1300,1,NA,30,IT15
34,1320,1320,1300,2,NA,30,FR176
35,1321,1320,1300,6,NA,30,FR131
36,1322,1320,1300,1,0,30,NE57
37,1322,1320,1300,1,1,30,G183
38,1323,1320,1300,1,NA,30,A0
39,1323,1320,1300,2,1,30,FR78
40,1323,1320,1300,2,NA,30,FR133
41,1323,1320,1300,1,NA,30,FR135
42,1324,1320,1300,12,1,30,IR13
43,1325,1320,1300,28,NA,30,UK100
44,1326,1320,1300,1,NA,30,A0
45,1326,1320,1300,3,1,19,FR13
46,1326,1320,1300,3,1,30,FR13
47,1326,1320,1300,1,NA,19,FR133
48,1326,1320,1300,1,0,30,FR133
49,1326,1320,1300,1,NA,30,G529
50,1327,1320,1300,1,NA,30,A0
51,1327,1320,1300,1,NA,19,FR137
52,1327,1320,1300,1,NA,30,FR137
53,1329,1320,1300,1,0,30,FR84
54,1330,1330,1300,1,NA,30,UK53
55,1330,1330,1300,1,1,19,FR84
56,1330,1330,1300,1,1,19,FR84
57,1330,1330,1300,1,1,19,FR84
