Juicio_ID,year,decade,century,tried,deaths,city,gadm.adm2,gadm.adm1,gadm.adm0,lon,lat,record.source
1,1300,1300,1300,1,0,Nurnberg,Mittelfranken,Bayern,Germany,11.07675,49.45203,Kieckhefer (1976)
2,1300,1300,1300,1,NA,Freiburg,Freiburg,Baden-Wurttemberg,Germany,7.8421,47.999,Midelfort (1972)
3,1301,1300,1300,1,0,Coventry,West Midlands,England,United Kingdom,-1.519693,52.406822,Kieckhefer (1976)
4,1302,1300,1300,1,0,Exeter,Devon,England,United Kingdom,-3.533899,50.718412,Kieckhefer (1976)
5,1302,1300,1300,1,0,Exeter,Devon,England,United Kingdom,-3.533899,50.718412,Kieckhefer (1976)
6,1303,1300,1300,1,0,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
7,1304,1300,1300,1,0,Mons-en-Pevele,Nord,Nord-Pas-de-Calais,France,3.099575,50.480352,Kieckhefer (1976)
8,1306,1300,1300,1,0,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
9,1307,1300,1300,36,36,NA,NA,NA,France,NA,NA,Carlson (2004)
10,1308,1300,1300,1,NA,Troyes,Aube,Champagne-Ardenne,France,4.0744009,48.2973451,Kieckhefer (1976)
11,1308,1300,1300,3,2,Paris,Paris,Ile-de-France,France,2.3522219,48.856614,Kieckhefer (1976)
12,1310,1310,1300,54,54,NA,NA,NA,France,NA,NA,Carlson (2004)
13,1311,1310,1300,1,0,London,London,England,United Kingdom,-0.1277583,51.5073509,Kieckhefer (1976)
14,1314,1310,1300,39,39,NA,NA,NA,France,NA,NA,Carlson (2004)
15,1314,1310,1300,1,1,NA,NA,NA,France,NA,NA,Carlson (2004)
16,1314,1310,1300,1,1,NA,NA,England,United Kingdom,NA,NA,Kieckhefer (1976)
17,1314,1310,1300,1,NA,Paris,Paris,Ile-de-France,France,2.3522219,48.856614,Kieckhefer (1976)
18,1315,1310,1300,1,0,Chalons-sur-Marne,Marne,Champagne-Ardenne,France,4.363073,48.956682,Kieckhefer (1976)
19,1315,1310,1300,3,3,Paris,Paris,Ile-de-France,France,2.3522219,48.856614,Kieckhefer (1976)
20,1315,1310,1300,1,NA,Krems,Krems an der Donau Land,Niederosterreich,Austria,15.60384,48.40999,Kieckhefer (1976)
21,1315,1310,1300,3,3,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
22,1316,1310,1300,1,NA,NA,NA,NA,France,NA,NA,Carlson (2004)
23,1316,1310,1300,1,NA,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
24,1317,1310,1300,1,NA,Paris,Paris,Ile-de-France,France,2.3522219,48.856614,Kieckhefer (1976)
25,1317,1310,1300,1,1,Avignon,Vaucluse,Provence-Alpes-Cote d'Azur,France,4.805528,43.949317,Kieckhefer (1976)
26,1317,1310,1300,1,0,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
27,1318,1310,1300,1,NA,Avignon,Vaucluse,Provence-Alpes-Cote d'Azur,France,4.805528,43.949317,Kieckhefer (1976)
28,1318,1310,1300,1,NA,Avignon,Vaucluse,Provence-Alpes-Cote d'Azur,France,4.805528,43.949317,Kieckhefer (1976)
29,1319,1310,1300,1,0,NA,NA,NA,France,NA,NA,Carlson (2004)
30,1319,1310,1300,1,NA,Paris,Paris,Ile-de-France,France,2.3522219,48.856614,Kieckhefer (1976)
31,1319,1310,1300,1,0,Carcassonne,Aude,Languedoc-Roussillon,France,2.353663,43.212161,Kieckhefer (1976)
32,1319,1310,1300,1,NA,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
33,1320,1320,1300,1,NA,Ancona,Ancona,Marche,Italy,13.518915,43.6158299,Kieckhefer (1976)
34,1320,1320,1300,2,NA,Avignon,Vaucluse,Provence-Alpes-Cote d'Azur,France,4.805528,43.949317,Kieckhefer (1976)
35,1321,1320,1300,6,NA,Pamiers,Ariege,Midi-Pyrenees,France,1.607953,43.114753,Kieckhefer (1976)
36,1322,1320,1300,1,1,Ehingen,Tubingen,Baden-Wurttemberg,Germany,9.723611,48.283333,Kieckhefer (1976)
37,1322,1320,1300,1,0,Utrecht,Utrecht,Utrecht,Netherlands,5.1214201,52.0907374,Kieckhefer (1976)
38,1323,1320,1300,2,1,Chateau-Landon,Seine-et-Marne,Ile-de-France,France,2.704426,48.150232,Kieckhefer (1976)
39,1323,1320,1300,1,NA,Figeac,Lot,Midi-Pyrenees,France,2.032871,44.608288,Kieckhefer (1976)
40,1323,1320,1300,2,NA,Toulouse,Haute-Garonne,Midi-Pyrenees,France,1.444209,43.604652,Kieckhefer (1976)
41,1323,1320,1300,1,NA,NA,NA,NA,Austria,NA,NA,Kieckhefer (1976)
42,1324,1320,1300,12,1,NA,NA,Kilkenny,Ireland,NA,NA,Kieckhefer (1976)
43,1325,1320,1300,28,NA,Coventry,West Midlands,England,United Kingdom,-1.519693,52.406822,Kieckhefer (1976)
44,1326,1320,1300,3,1,Agen,Lot-et-Garonne,Aquitaine,France,0.616363,44.203142,Carlson (2004)
45,1326,1320,1300,1,NA,Toulouse,Haute-Garonne,Midi-Pyrenees,France,1.444209,43.604652,Carlson (2004)
46,1326,1320,1300,3,1,Agen,Lot-et-Garonne,Aquitaine,France,0.616363,44.203142,Kieckhefer (1976)
47,1326,1320,1300,1,0,Toulouse,Haute-Garonne,Midi-Pyrenees,France,1.444209,43.604652,Kieckhefer (1976)
48,1326,1320,1300,1,NA,Cologne,Koln,Nordrhein-Westfalen,Germany,6.9602786,50.937531,Kieckhefer (1976)
49,1326,1320,1300,1,NA,NA,NA,NA,Austria,NA,NA,Kieckhefer (1976)
50,1327,1320,1300,1,NA,NA,NA,NA,France,NA,NA,Carlson (2004)
51,1327,1320,1300,1,NA,NA,NA,NA,France,NA,NA,Kieckhefer (1976)
52,1327,1320,1300,1,NA,NA,NA,NA,Austria,NA,NA,Kieckhefer (1976)
