Lugar_ID,Ciudad,GobAdmin_2,GobAdmin_1,Nacion,Longitud,Latitud
A0,NA,NA,NA,1,14.550072,47.516231
A1,Bruck an der Leitha,Bruck an der Leitha,Niederosterreich,1,16.77534,48.02375
A2,Krems,Krems an der Donau Land,Niederosterreich,1,15.60384,48.40999
A3,Braunau am Inn,Braunau am Inn,Oberosterreich,1,13.0443,48.2557
A4,Mattighofen,Braunau am Inn,Oberosterreich,1,13.1487,48.1066
A5,Peuerbach,Grieskirchen,Oberosterreich,1,13.7708033,48.3447243
A6,Linz,Linz,Oberosterreich,1,14.28583,48.30694
A7,Salzburg,Salzburg,Salzburg,1,13.05501,47.80949
A8,Schladming,Liezen,Steiermark,1,13.68544,47.394203
A9,Innsbruck,Innsbruck,Tirol,1,11.4041024,47.2692124
A10,NA,NA,Tirol,1,11.601487,47.2537414
A11,Fussach,Bregenz,Vorarlberg,1,9.65997,47.4743
A12,Vienna,Wien,Wien,1,16.3738189,48.2081743
A13,Innsbruck,Innsbruck,Tirol,1,13.4327,48.4605
B0,Brussels,Bruxelles,Bruxelles,2,4.3517103,50.8503396
B1,Antwerp,Antwerpen,Vlaanderen,2,4.4024643,51.2194475
B2,Arnhem,Antwerpen,Vlaanderen,2,4.8279351,51.174422
B3,Machelen,Antwerpen,Vlaanderen,2,4.4350213,50.9125785
B4,Rijmenam,Antwerpen,Vlaanderen,2,4.5902677,51.0037609
B5,Turnhout,Antwerpen,Vlaanderen,2,4.9375577,51.3216509
B6,Aalst,Oost-Vlaanderen,Vlaanderen,2,4.033333,50.933333
B7,Assenede,Oost-Vlaanderen,Vlaanderen,2, 3.75,51.2333
B8,Berlare,Oost-Vlaanderen,Vlaanderen,2,4,51.033333
B9,Deinze,Oost-Vlaanderen,Vlaanderen,2,3.5333,50.9833
B10,Dendermonde,Oost-Vlaanderen,Vlaanderen,2,4.1167,51.0333
B11,Eeklo,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B12,Gavere,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B13,Geraardsbergen,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B14,Ghent,Oost-Vlaanderen,Vlaanderen,2,3.7174243,51.0543422
B15,Kruishoutem,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B16,Laarne,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B17,Nazareth,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B18,Nevele,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B19,Ninove,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B20,Oudenaarde,Oost-Vlaanderen,Vlaanderen,2,3.601368,50.846955
B21,Ronse,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B22,Sint-Niklaas,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B23,Wortegem-Petegem,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B24,Zulte,Oost-Vlaanderen,Vlaanderen,2,NA,NA
B25,Leuven,Vlaams Brabant,Vlaanderen,2,4.7,50.883333
B26,Liedekerke,Vlaams Brabant,Vlaanderen,2,NA,NA
B27,Bruges,West-Vlaanderen,Vlaanderen,2,NA,NA
B28,Dentergem,West-Vlaanderen,Vlaanderen,2,NA,NA
B29,Diksmuide,West-Vlaanderen,Vlaanderen,2,NA,NA
B30,Herelbeke,West-Vlaanderen,Vlaanderen,2,NA,NA
B31,Heuvelland,West-Vlaanderen,Vlaanderen,2,NA,NA
B32,Ingelmunster,West-Vlaanderen,Vlaanderen,2,NA,NA
B33,Kortemark,West-Vlaanderen,Vlaanderen,2,NA,NA
B34,Kortrijk,West-Vlaanderen,Vlaanderen,2,NA,NA
B35,Menen,West-Vlaanderen,Vlaanderen,2,3.121759,50.799316
B36,Mesen,West-Vlaanderen,Vlaanderen,2,2.8976699,50.7638555.
B37,Nieuwpoort,West-Vlaanderen,Vlaanderen,2,NA,NA
B38,Ostend,West-Vlaanderen,Vlaanderen,2,NA,NA
B39,Oudenburg,West-Vlaanderen,Vlaanderen,2,NA,NA
B40,Poperinge,West-Vlaanderen,Vlaanderen,2,NA,NA
B41,Spiere-Helkijn,West-Vlaanderen,Vlaanderen,2,NA,NA
B42,Veurne,West-Vlaanderen,Vlaanderen,2,NA,NA
B43,Ypres,West-Vlaanderen,Vlaanderen,2,NA,NA
B44,Zwevegem,West-Vlaanderen,Vlaanderen,2,NA,NA
B45,Jodoigne,Brabant Wallon,Wallonie,2,4.87115,50.72336
B46,Nivelles,Brabant Wallon,Wallonie,2,4.32851,50.59787
B47,Perwez,Brabant Wallon,Wallonie,2,4.81503,50.624
B48,Villers-la-Ville,Brabant Wallon,Wallonie,2,4.53454,50.5792
B49,Wavre,Brabant Wallon,Wallonie,2,4.61281,50.7159
B50,Charleroi,Hainaut,Wallonie,2,4.44464,50.4108
B51,Chatelet,Hainaut,Wallonie,2,4.52786,50.4061
B52,Fleurus,Hainaut,Wallonie,2,4.5511869,50.4822605
B53,Gerpinnes,Hainaut,Wallonie,2,4.52779,50.3373
